id,ref,label,brand,description,image,price,stock,active,volume,width,length,height,shape,material,color,category,warranty,user_id
1,1,piscine power steel,Bestway,"Cette piscine tubulaire composée d'une structure métallique clipsable ""Seal & Lock system"" est robuste et facile à installer, une trentaine de minutes vous suffira pour l'installation de cette piscine.",https://firebasestorage.googleapis.com/v0/b/poolhubapp-859cf.appspot.com/o/pool_test_images%2Fpiscine-bestway-power-steel-rectangulaire-6-40-x2-74-x1-32-groupe-de-filtration.webp?alt=media&token=a1febe78-a883-45e4-af42-c455ac0234f6,1299,3,1,19.28,6.4,2.74,1.32,RECTANGULAR,TUBULAR,WHITE,ONGROUND,2,1
2,2,piscine gonflable familiale pour jardin,Duerer,"La piscine de loisirs familiale épaissie ne peut pas seulement être utilisée comme piscine, mais aussi comme piscine à balles, bac à sable, bassin de pêche et piscine à jouets. C'est un choix idéal pour les divertissements intérieurs et extérieurs",https://firebasestorage.googleapis.com/v0/b/poolhubapp-859cf.appspot.com/o/pool_test_images%2F81-3ZvYPXeL._AC_SL1200_.jpg?alt=media&token=73f20691-5a9b-4a92-b1fd-7396283d5be8,"49,99",2,1,1.42,1.82,3.05,0.56,RECTANGULAR,PVC,BLUE,ONGROUND,0,1
3,3,piscine bois,Louisiana,"Sa structure en pin sylvestre et sa forme rectangulaire embelliront votre jardin avec élégance et sobriété. Robuste et confortable, c’est le modèle qu’il vous faut pour nager et vous amuser en famille ou avec vos amis.",https://firebasestorage.googleapis.com/v0/b/poolhubapp-859cf.appspot.com/o/pool_test_images%2Fimage.jpg?alt=media&token=56eb4785-e029-49a8-b4f5-23cdc86513c7,6645,5,1,30.97,4,8,1.38,RECTANGULAR,WOOD,BLUE,ONGROUND,5,5
4,C-11-212796,piscine vendome,Paris Chic,"Pas d’inquiétude quant à la solidité de cette piscine hors-sol haut de gamme. En effet, elle est composée de panneaux en nid d’abeille qui s’assemblent les uns avec les autres pour que vous n’ayez aucune difficulté à monter cette dernière. L’élégance caractérise également cette piscine haut de gamme grâce à sa structure en composite gris anthracite.",https://firebasestorage.googleapis.com/v0/b/poolhubapp-859cf.appspot.com/o/pool_test_images%2Fimage%20(1).jpg?alt=media&token=59230934-b45d-4673-b4d3-ab45e587a917,8250,6,1,21.6,3.10,5.8,1.5,RECTANGULAR,BLACK,BLACK,INGROUND,10,2
5,5,intex 15ft8In X 49In panel pool set ,Intex,"Ce paquet comprend une pompe à filtre à sable de 3200 gallons/heure, une échelle de sécurité, un chiffon de sol et une housse de débris d'hiver ",https://firebasestorage.googleapis.com/v0/b/poolhubapp-859cf.appspot.com/o/pool_test_images%2F51gD4JXesofjsokspc9YL._AC_SL1000_.jpg?alt=media&token=0993c29d-7abb-4c66-8696-5e7121463fad,1379,3,1,16.8,4.78,4.78,1.24,CIRCULAR,GRAPHITE,BLACK,ONGROUND,3,2
6,6,piscine bois,Nevada,"Vous êtes à la recherche d’une piscine robuste avec un charme naturel pour votre jardin ? La piscine bois NEVADA de la gamme O'BYA est ce qu'il vous faut ! Facile à entretenir, c’est le bassin idéal pour s’offrir des moments de détente bien mérités seul ou à plusieurs. Sa structure bois en pin sylvestre, apportera un côté chaleureux à votre extérieur.",https://firebasestorage.googleapis.com/v0/b/poolhubapp-859cf.appspot.com/o/pool_test_images%2FPISCINE-BOIS-HEXA.jpg?alt=media&token=f3d198da-b387-4b7b-a665-99de613774ae,2149,2,1,8.97,4.34,4.34,1.16,HEXAGON,WOOD,WOOD,ONGROUND,5,3
7,7,piscine monceau,Paris Chic,"Grâce à sa structure en composite gris anthracite, l’élégance et la solidité de cette piscine MONCEAU est garantie. En effet, elle est composée de panneaux en nid d’abeille qui s’assemblent les uns avec les autres pour que vous n’ayez aucune difficulté à monter cette piscine hors-sol et faire d’elle une piscine haut de gamme ! Cet ensemble comprend la structure de la piscine, le liner, ainsi qu’un skimmer et un refoulement, libre à vous de choisir la filtration de votre choix et d'équiper votre bassin avec une pompe à chaleur ou encore un système de traitement automatique. Hors-sol, semi-enterrée ou enterrée, toutes les possibilités sont envisageables avec cette piscine, cependant une dalle de 15 cm est obligatoire.",https://firebasestorage.googleapis.com/v0/b/poolhubapp-859cf.appspot.com/o/pool_test_images%2FPISCINE%20NOIR.jpg?alt=media&token=dfa2bdd9-af3d-4498-8a00-be8f51ad260c,7290,5,1,24.5,3.7,6.3,1.2,OCTAGON,COMPOSITE,BLACK,ONGROUND,10,1
8,8,piscine florida,Habitat&Jardin,Kit piscine bois Scandinave ou Biélorusse. Filtration 6 m3/h,https://firebasestorage.googleapis.com/v0/b/poolhubapp-859cf.appspot.com/o/pool_test_images%2F51gD4JXe9YL._AC_SL1000_.jpg?alt=media&token=451ae718-8e02-4f47-a8ac-df39d503bc04,2999,6,1,29,4.57,6.57,1.31,OCTAGON,WOOD,WOOD,ONGROUND,10,2
9,124497-web,piscine acier,o'bya,Vous souhaitez une grande piscine acier mais avec un encombrement au sol moins important ? Nous avons la solution pour vous : la piscine acier sans jambes de force. Le système sans jambe de force vous permettra de gagner de précieux centimètres car il a la particularité de ne pas posséder de pieds latéraux.,https://firebasestorage.googleapis.com/v0/b/poolhubapp-859cf.appspot.com/o/pool_test_images%2FPISCINE%20ACIER.jpg?alt=media&token=acb068f5-89a6-4d8f-b366-4b105b2c5766,2949,8,1,28.21,3.75,7.3,1.32,OVAL,STEEL,WHITE,SEMI_INGROUND,4,1
10,10,piscine en kit traditionnelle,Beton Premium,"Méthode de construction traditionnelle par excellence, notre kit offre la possibilité à toute personne bricoleuse ou non, de prendre en charge les travaux de son bassin, ou de faire appel à un maçon pour réaliser son projet de A à Z.",https://firebasestorage.googleapis.com/v0/b/poolhubapp-859cf.appspot.com/o/pool_test_images%2Fbetonpremium63.webp?alt=media&token=81d9844e-6a1e-4389-b972-af1bbda703b9,6299,1,1,70,5,10,1.5,RECTANGULAR,CONCRETE,WHITE,INGROUND,20,3
